q[nm-1]	I(q)[sr-1]_Rocca_10m_eiger2_00011_00_00001_av_ave.h5_00001_[NS11_25C]_trm=0.873101	error
1.15488522e-01	7.35480845e-01	4.59682057e-03
1.15949571e-01	7.40307629e-01	4.60267626e-03
1.16410628e-01	7.34350502e-01	4.58131684e-03
1.16871685e-01	7.25957394e-01	4.54791076e-03
1.17332734e-01	7.27721810e-01	4.54120664e-03
1.17793791e-01	7.23977923e-01	4.52365074e-03
1.18254848e-01	7.15739787e-01	4.48922440e-03
1.18715897e-01	7.18585670e-01	4.49118530e-03
1.19176954e-01	7.13034153e-01	4.47094766e-03
1.19638011e-01	7.02232480e-01	4.43036761e-03
1.20099060e-01	7.02519476e-01	4.42458922e-03
1.20560117e-01	6.94816172e-01	4.39124415e-03
1.21021174e-01	6.93943143e-01	4.38101636e-03
1.21482231e-01	6.90008759e-01	4.36347444e-03
1.21943280e-01	6.91533446e-01	4.35742410e-03
1.22404337e-01	6.97171748e-01	4.36471030e-03
1.22865394e-01	6.81152105e-01	4.30765236e-03
1.23326443e-01	6.86196387e-01	4.32421546e-03
1.23787500e-01	6.76492035e-01	4.28645080e-03
1.24248557e-01	6.76990449e-01	4.27577179e-03
1.24709606e-01	6.80285096e-01	4.27701790e-03
1.25170663e-01	6.69724822e-01	4.23841877e-03
1.25631720e-01	6.75379574e-01	4.25085146e-03
1.26092777e-01	6.66965842e-01	4.21164418e-03
1.26553819e-01	6.70699954e-01	4.21676226e-03
1.27014875e-01	6.68739438e-01	4.20247717e-03
1.27475932e-01	6.64009988e-01	4.18427261e-03
1.27936989e-01	6.61747336e-01	4.17170394e-03
1.28398046e-01	6.54639304e-01	4.14346438e-03
1.28859103e-01	6.56516254e-01	4.14414797e-03
1.29320160e-01	6.55860782e-01	4.12773201e-03
1.29781201e-01	6.49850667e-01	4.10505477e-03
1.30242258e-01	6.49280787e-01	4.10060957e-03
1.30703315e-01	6.43680930e-01	4.07432811e-03
1.31164372e-01	6.39614880e-01	4.05682251e-03
1.31625429e-01	6.42269790e-01	4.05606348e-03
1.32086486e-01	6.41681552e-01	4.04750975e-03
1.32547528e-01	6.31335497e-01	4.01219307e-03
1.33008584e-01	6.27408683e-01	3.99899855e-03
1.33469641e-01	6.29409313e-01	3.99891008e-03
1.33930698e-01	6.28872395e-01	3.98873771e-03
1.34391755e-01	6.25816464e-01	3.97390779e-03
1.34852812e-01	6.21974945e-01	3.95055395e-03
1.35313854e-01	6.24518812e-01	3.95313930e-03
1.35774910e-01	6.19047105e-01	3.93379526e-03
1.36235967e-01	6.13511741e-01	3.91491363e-03
1.36697024e-01	6.04424059e-01	3.88493645e-03
1.37158081e-01	6.01439595e-01	3.87254730e-03
1.37619138e-01	5.98674953e-01	3.85616021e-03
1.38080180e-01	5.95750213e-01	3.84074030e-03
1.38541237e-01	5.92173338e-01	3.83055536e-03
1.39002293e-01	5.87578177e-01	3.81263043e-03
1.39463350e-01	5.82644045e-01	3.78614152e-03
1.39924407e-01	5.78477979e-01	3.77392024e-03
1.40385464e-01	5.71701407e-01	3.75395385e-03
1.40846506e-01	5.73654830e-01	3.75401299e-03
1.41307563e-01	5.67457974e-01	3.73108266e-03
1.41768619e-01	5.64545095e-01	3.71959689e-03
1.42229676e-01	5.63188434e-01	3.70957330e-03
1.42690733e-01	5.61951399e-01	3.70494043e-03
1.43151790e-01	5.51397443e-01	3.66927544e-03
1.43612847e-01	5.55407166e-01	3.68027133e-03
1.44073889e-01	5.48528969e-01	3.64806922e-03
1.44534945e-01	5.46427906e-01	3.63678439e-03
1.44996002e-01	5.43416023e-01	3.62621015e-03
1.45457059e-01	5.39831996e-01	3.61346407e-03
1.45918116e-01	5.38250566e-01	3.60587612e-03
1.46379173e-01	5.33846736e-01	3.58733116e-03
1.46840215e-01	5.31268060e-01	3.57544608e-03
1.47301272e-01	5.28515279e-01	3.56395915e-03
1.47762328e-01	5.26104987e-01	3.55613721e-03
1.48223385e-01	5.23414075e-01	3.54277017e-03
1.48684442e-01	5.18138111e-01	3.52094206e-03
1.49145499e-01	5.15513361e-01	3.50991148e-03
1.49606541e-01	5.11570752e-01	3.49742058e-03
1.50067598e-01	5.09093583e-01	3.48875346e-03
1.50528654e-01	5.07081509e-01	3.47481552e-03
1.50989711e-01	5.06453514e-01	3.47013702e-03
1.51450768e-01	5.04719317e-01	3.46209342e-03
1.51911825e-01	5.00963390e-01	3.44735873e-03
1.52372867e-01	4.99062151e-01	3.43756122e-03
1.52833924e-01	4.99457419e-01	3.43061192e-03
1.53294981e-01	4.97330844e-01	3.42265400e-03
1.53756037e-01	4.90027189e-01	3.40065174e-03
1.54217094e-01	4.87760246e-01	3.39021278e-03
1.54678151e-01	4.85689789e-01	3.37865762e-03
1.55139193e-01	4.85350132e-01	3.37192486e-03
1.55600250e-01	4.88954872e-01	3.37930582e-03
1.56061307e-01	4.86994803e-01	3.37011972e-03
